t,front_dist,vcmd
51.85,2.948,0.5
51.9,2.942,0.5
51.95,2.941,0.5
52.0,2.942,0.5
52.05,2.945,0.5
52.1,2.932,0.5
52.15,0.671,0.5
52.2,0.662,0.5
52.25,0.662,0.5
52.3,0.665,0.5
52.35,0.668,0.34
52.4,0.672,0.363
52.45,0.667,0.384
52.5,0.668,0.404
52.55,0.664,0.421
52.6,0.667,0.434
52.65,0.666,0.447
52.7,0.668,0.454
52.75,0.671,0.462
52.8,0.676,0.468
52.85,0.683,0.473
52.9,0.688,0.478
52.95,0.698,0.36
53.0,0.703,0.375
53.05,0.714,0.394
53.1,0.726,0.413
53.15,0.751,0.426
53.2,0.769,0.44
53.25,0.785,0.45
53.3,0.804,0.458
53.35,0.822,0.465
53.4,0.836,0.469
53.45,0.86,0.474
53.5,0.877,0.477
53.55,0.92,0.481
53.601,0.939,0.493
53.65,0.959,0.494
53.7,0.979,0.495
53.75,1.025,0.496
53.8,1.059,0.497
53.85,1.096,0.497
53.9,1.128,0.498
53.95,1.158,0.498
54.0,1.267,0.498
54.05,1.344,0.498
54.1,2.916,0.499
54.15,2.946,0.499
54.2,2.956,0.499
54.25,2.953,0.499
54.3,2.944,0.499
54.35,2.948,0.499
54.4,2.937,0.499
54.45,2.941,0.5
54.5,2.934,0.5
54.55,2.945,0.5
54.6,2.953,0.5
54.65,2.941,0.5
54.7,2.95,0.5
54.75,2.942,0.5
54.8,2.951,0.5
54.85,2.937,0.496
54.9,2.95,0.497
54.95,2.943,0.497
55.0,2.942,0.498
55.05,2.939,0.498
55.1,2.939,0.499
55.15,2.949,0.499
55.2,2.936,0.499
55.25,2.94,0.499
55.3,2.943,0.499
55.35,2.947,0.499
55.4,2.929,0.499
55.45,2.948,0.499
55.5,2.941,0.434
55.55,2.946,0.442
55.6,2.943,0.451
55.65,2.946,0.459
55.7,2.948,0.465
55.75,2.944,0.47
55.8,2.942,0.474
55.85,2.947,0.477
55.9,2.942,0.48
55.95,2.943,0.483
56.0,2.939,0.485
56.05,2.938,0.486
56.1,2.948,0.436
56.15,2.95,0.443
56.2,2.943,0.451
56.25,2.94,0.459
56.3,2.943,0.467
56.35,2.941,0.473
56.4,2.934,0.477
56.45,2.951,0.48
56.5,2.936,0.484
56.55,2.942,0.486
56.6,2.94,0.488
56.65,2.936,0.49
56.7,2.936,0.496
56.75,2.944,0.496
56.8,2.951,0.497
56.85,2.945,0.497
56.9,2.949,0.498
56.95,2.945,0.498
57.0,2.938,0.498
57.05,2.941,0.499
57.1,2.927,0.499
57.15,2.939,0.499
57.2,2.951,0.499
57.25,2.937,0.499
57.3,2.943,0.499
57.35,2.951,0.283
57.4,2.944,0.303
57.45,2.946,0.328
57.5,2.948,0.359
57.55,2.944,0.383
57.6,2.942,0.403
57.65,2.945,0.418
57.7,2.935,0.433
57.75,2.942,0.445
57.8,2.937,0.452
57.85,2.942,0.459
57.9,2.944,0.465
57.95,2.95,0.47
58.0,2.944,0.339
58.05,2.944,0.359
